项目编码,项目名称,合同金额,项目采购成本,盈利（元）
ISS24057-NJ04,南京雨花区怡化大厦B座4层10单元MAG华为慧通商旅业务蓝区新建项目," ¥ 476,475.62 ","¥470,878.98","¥5,596.64"
ISS24058-WH04,武汉东湖高新区未来科技城F3栋3层MAG屏蔽房改造项目," ¥ 56,220.52 ","¥61,289.99","-¥5,069.47"
ISS24059-CD04,成都武侯区西部智谷4层DOS场地监控系统升级改造项目," ¥ 130,565.19 ","¥120,921.63","¥9,643.56"
ISS24060-DG04,东莞长安同晋五金广场5层B区TTR-OPPO移动物联网智能终端黄区场地退租项目," ¥ 34,863.50 ","¥32,733.01","¥2,130.49"
ISS24061-XA05西,西安长安区沣东学研广场A座9层鸿湖万联业务场地优化改造项目," ¥ 33,473.60 ","¥36,269.34","-¥2,795.74"
ISS24062-LY05,洛阳洛龙中移在线新园区E字楼中楼5层502单元INT1阿里云业务专属场地新建项目," ¥ 108,256.81 ","¥98,653.03","¥9,603.78"
ISS24063-XA05,西安高新区环普产业园E幢3层MAG华为终端交付件ODC场地缩减改GTS蓝区ODC场地项目," ¥ 76,118.81 ","¥70,401.14","¥5,717.67"
ISS24064-DG05,东莞松山湖光大WE谷B1栋6层MAG华为黄区新增可信考场区域监控改造项目," ¥ 15,871.67 ","¥13,826.89","¥2,044.78"
ISS24065-CS05,长沙高新区麓谷信息港B栋14层开放区改蓝区项目," ¥ 43,752.88 ","¥39,543.23","¥4,209.65"
ISS24066-SZ05,深圳龙岗中科谷6栋5层504-505单元MAG新凯来业务ODC场地新建项目," ¥ 398,108.58 ","¥370,927.76","¥27,180.82"
ISS24067-CD05,成都高新紫光芯云B座3层18层19层MAG及DOS场地退租优化改造项目," ¥ 357,926.91 ","¥352,162.20","¥5,764.71"
ISS24068-BJ05,北京海淀区软通总部大楼3层DOS滴滴业务场地网络改造项目," ¥ 40,775.21 ","¥44,775.69","-¥4,000.48"
ISS24069-XA05,西安高新区环普产业园E幢2-5层MAG华为场地机房消防器材（七氟丙烷）维护项目," ¥ 107,943.69 ","¥114,848.36","-¥6,904.67"
ISS24070-BJ05,北京海淀软通总部大楼5层算力办公室改造项目," ¥ 3,502.30 ","¥3,847.99",-¥345.69
ISS24071-WH05,武汉东湖高新区未来科技城C2栋10层MAG场地电路及监控系统改造项目," ¥ 158,501.70 ","¥171,823.26","-¥13,321.56"
ISS24072-HZ05,杭州滨江慧港科技园A3-B栋5层综合场地网络改造项目," ¥ 15,503.75 ","¥14,889.43",¥614.32
ISS24073-ZZ05,郑州金水区政商博雅超聚变场地4层绿区ODC改造项目," ¥ 32,042.36 ","¥29,522.12","¥2,520.24"
ISS24075-WH05,武汉东湖高新区未来科技城C2栋10层MAG场地门禁系统升级改造项目," ¥ 48,316.93 ","¥56,530.77","-¥8,213.84"
ISS24076-WH05,武汉东湖高新区未来科技城F3栋3F、4F、6F、8F、13FMAG空间布局及门禁系统升级改造项目," ¥ 356,572.30 ","¥309,485.09","¥47,087.21"
ISS24077-WH05,武汉东湖高新区光谷信息城软件新城2期C15栋3-4层门禁系统升级改造项目," ¥ 72,479.76 ","¥74,218.68","-¥1,738.92"
ISS24078-XA05,西安高新区环普产业园E栋3-5层MAG华为业务ODC场地门禁改造项目," ¥ 331,822.66 ","¥354,012.09","-¥22,189.43"
ISS24079-NJ06,南京江宁天域互联D1栋5层MAG华为原黄区撤场区域改回PC黄区项目," ¥ 54,336.75 ","¥49,116.60","¥5,220.15"
ISS24080-BJ06,北京海淀区互联网创新中心3层二期综合场地退租项目," ¥ 64,653.70 ","¥57,865.96","¥6,787.74"
ISS24081-BJ06,北京通州网络安全产业园服务器过渡工厂建设设计项目,,,¥0.00
ISS24082-BJ06,北京海淀软通总部大楼室外连廊监控升级改造项目," ¥ 51,254.68 ","¥54,484.30","-¥3,229.62"
ISS24083-XA06,西安高新区环普产业园A2幢13层MAG华为BPIT绿区ODC场地前台升级改造项目," ¥ 31,309.99 ","¥28,438.50","¥2,871.49"
ISS24084-XA06,西安长安区沣东学研广场B座4层北侧TTR小米ODC场地退租项目," ¥ 16,107.49 ","¥15,538.24",¥569.25
ISS24085-BJ06,北京海淀软通总部大楼2层ICP保密实验室及1层实验室隔音改造项目," ¥ 226,528.06 ","¥232,958.92","-¥6,430.86"
ISS24086-SZ06,深圳龙岗金荣达4栋5层MAG华为BPIT绿区ODC场地光纤改造项目," ¥ 80,874.00 ","¥72,900.80","¥7,973.20"
ISS24087-WH06,武汉东湖高新区未来科技城F3栋6层ODC场地AP升级改造项目 ," ¥ 7,722.30 ","¥7,872.75",-¥150.45
ISS24088-JN06,济南历下区平安金融中心8层803-804单元MAG华为业务专属场地扩建项目," ¥ 865,780.28 ","¥948,329.20","-¥82,548.92"
ISS24089-WH06,武汉洪山李桥创意大厦13-14层INT场地退租项目," ¥ 166,785.16 ","¥155,700.14","¥11,085.02"
ISS24090-CD06,成都武侯区西部智谷3层DOS场地网络改造项目," ¥ 29,859.28 ","¥27,594.87","¥2,264.41"
ISS24093-WH06,武汉东湖高新区光谷信息城软件新城2期C15栋5层场地退租改造项目," ¥ 15,569.90 ","¥16,131.30",-¥561.40
ISS24094-BJ06,北京市经济技术开发区科谷一街8号院8号楼19层综合场地局部退租项目," ¥ 10,934.57 ","¥10,507.84",¥426.73
ISS24095-NJ06,南京江宁天域互联D1栋2层、5层、6层及7层MAG华为业务ODC场地门禁改造项目," ¥ 112,561.07 ","¥123,069.40","-¥10,508.33"
ISS24097-NJ06,南京江宁天域互联D2栋3层及5层MAG华为业务ODC场地门禁改造项目," ¥ 118,696.81 ","¥117,000.89","¥1,695.92"
ISS24098-NJ06,南京雨花区怡化大厦D栋4层MAG华为业务ODC场地门禁改造项目," ¥ 39,274.47 ","¥42,346.01","-¥3,071.54"
ISS24099-NJ06,南京雨花区怡化中心B栋4层MAG华为业务ODC场地门禁改造项目," ¥ 42,618.98 ","¥41,036.12","¥1,582.86"
ISS24100-XA07,西安高新区环普产业园A2幢7层MAG华为ICTT创新实验室改终端互联网ODC场地项目," ¥ 46,214.63 ","¥49,698.77","-¥3,484.14"
ISS24101-BJ07,北京海淀区软通总部大楼B1层商务餐厅空调系统升级改造项目," ¥ 157,406.06 ","¥174,208.48","-¥16,802.42"
ISS24102-WH07,武汉东湖高新区未来科技城F3栋3层MAG硬工场地空调升级改造项目," ¥ 15,787.15 ","¥16,364.72",-¥577.57
ISS24103-BJ07,北京海淀区环保园C2栋1F、3F、MAG门禁系统升级改造项目," ¥ 42,047.22 ","¥40,868.49","¥1,178.73"
ISS24104-XA07,西安高新区环普产业园E幢2层3层MAG华为业务场地改造项目," ¥ 193,803.47 ","¥182,586.13","¥11,217.34"
ISS24105-HF07,合肥蜀山区创新国际B15层TTR场地退租改造项目," ¥ 293,326.92 ","¥311,793.58","-¥18,466.66"
