日期,项目,阶段,部门,具体任务,工时
07/29-08/04,GS220026-SD03 歌尔光电园二期综合服务楼二标段室内精装修项目,,IT部,郑志强咨询音轨重合分离相关问题。帮忙寻求专业人员。,1
07/29-08/04,GS220067-SD09 嘉行传媒-BJ-朝阳751园A21栋办公室设计施工项目,,IT部,报修拼接屏故障，沟通甲方及厂商。报价,1
07/29-08/04,GS220080-BJ11 温哥华森林别墅设计施工项目,,IT部,温哥华KTV房音视频方案，发预算开始报价。,1
07/29-08/04,GS230020-SD03 歌尔科技产业项目二期内装及机电安装深化设计项目,,IT部,根据图审C栋意见，调整E栋施工图。,30
07/29-08/04,GS230067-BJ09 金尚城溪-设计施工项目,,IT部,方案调整，参加方案交底会，沟通运营商现场踏勘，调整图纸。,15
07/29-08/04,GS230078-BJ11 北京嘉华学院设计项目,,IT部,行政楼替换装饰底图，调整比例及图框,3
07/29-08/04,GS240000-GZWX 2024年合同额小于20万维修改造项目,,IT部,①三星增加门禁意见开启，向预算交底；,2
07/29-08/04,GS240001-BJ01 2024年金尚源改造,,IT部,金尚源和集成商沟通，前台区域增加智能开关，进行集中控制。,1
07/29-08/04,GS240037-HB02 邢台面粉厂片区改造一期-地库设计项目,,IT部,沟通需求，拉通厂商及方案设计，绘制图纸。,18
07/29-08/04,GS240043-HZ01 乐华娱乐-HZ-杭州星澜里4号楼10F项目,,IT部,拉通甲方需求方，弱电方案全部推翻重新架构。绘制图纸、编辑设计变更单等。,23
07/29-08/04,GS240043-HZ01 乐华娱乐-HZ-杭州星澜里4号楼10F项目,,IT部,现场沟通，调整材料设备确认单，材料下单等,7
07/29-08/04,GS240071-GD05 冠宇达顺德厂房、创研楼施工项目,,IT部,绘制A栋、C栋弱电施工图,6
07/29-08/04,GS240073-GD06 华南农业大学珠江学院从化校区1A1B宿舍装修设计项目,,IT部,根据设计方案、接收新图纸，提出答疑文件,3
07/29-08/04,ISS24103-BJ07 北京海淀区环保园C2栋1F、3F、MAG门禁系统升级改造项目,,IT部,熵基门禁下单采购,1
07/29-08/04,ISS24109-SY07 沈阳沈河区前海人寿金融中心21层CDS场地新建项目,,IT部,根据客户新需求，2次调整弱电施工图,7
07/29-08/04,ISS24109-SY07 沈阳沈河区前海人寿金融中心21层CDS场地新建项目,,IT部,与施工单位沟通安装事宜，材料下单,2
07/29-08/04,ISS24110-XA07 西安高新区新加坡腾飞科汇城东楼22层MAG华为ICTT终端业务新建项目,,IT部,熵基门禁下单采购,1
07/29-08/04,ISS24116-SH07 上海虹口区友邦金融大厦26层2601室2608及2609室营销中心新建项目,,IT部,与软通基建，IT，大屏厂家线上碰方案,3
07/29-08/04,ISS24119-SZ07 深圳交付中心新建设计项目,,IT部,沟通需求，绘制图纸并发出。,13
07/29-08/04,ISS24125-HZ07 杭州慧港科技园A1栋5层6层MAG消费者场地门禁系统改造项目,,IT部,与客户线上会议沟通门禁改造方案，输出弱电安防施工平面方案,5
07/29-08/04,ISS24128-CQ08 重庆两江新区互联网产业园二期6号楼11-12层DOS场地改造项目,,IT部,与客户会议沟通改造需求，输出改造平面方案,9
07/29-08/04,IT部技术支持（WTL）,,IT部,WTL技术支持,13
07/29-08/04,IT部技术支持（金尚集团）,,IT部,金尚集团技术支持,24
07/29-08/04,IT部技术支持（金尚物业）,,IT部,金尚物业技术支持,7
07/29-08/04,IT部技术支持（租户）,,IT部,金尚源租户技术支持,2
07/29-08/04,会议培训及行政类工作,,IT部,金尚租赁会、金尚CRM系统会,4
07/29-08/04,会议培训及行政类工作,,IT部,朋明例会，周报汇总编辑等。,9
07/29-08/04,金尚支持工作,,IT部,金尚活动支持,44
07/29-08/04,GS220080-BJ11 温哥华森林别墅设计施工项目,,采购部,"材料样板 设计选样,供应商询价",2
07/29-08/04,GS230045-BJ07 华樾中心B座-BJ-朝阳区创远路28号院1号楼项目,,采购部,施工现场配合-材料对接,10
07/29-08/04,GS240019-BJ03 宝马品牌学院-BJ-设计施工项目,,采购部,材料样板 设计选样,4
07/29-08/04,GS240026-TJ01 天津嘉诚中学改造设计项目,,采购部,材料样板 设计选样,1
07/29-08/04,GS240032-BJ09 俄罗斯天然气北京办公室改造项目,,采购部,"材料样板 设计选样,材料询价",2
07/29-08/04,GS240034-BJ10 炮局二条一号院会所设计施工项目,,采购部,材料下单,4
07/29-08/04,GS240035-BJ11 世贸国际公寓设计施工项目,,采购部,施工现场配合-材料对接,15
07/29-08/04,GS240040-SH03 立达学院-SH-上海立达学院第三餐厅设计项目,,采购部,材料样板 设计选样,1
07/29-08/04,GS240043-HZ01 乐华娱乐-HZ-杭州星澜里4号楼10F项目,,采购部,"材料样板 设计选样,供应商询价",4
07/29-08/04,GS240056-BJ22 恐龙乐园-BJ-恐龙主题乐园项目,,采购部,"材料样板 设计选样,材料询价",4
07/29-08/04,GS240071-GD05 冠宇达顺德厂房、创研楼施工项目,,采购部,"材料样板 设计选样,材料询价",18
07/29-08/04,ISS23074-BJ04 北京通州信创园B区8栋18层装修工程项目,,采购部,材料下单,3
07/29-08/04,ISS24109-SY07 沈阳沈河区前海人寿金融中心21层CDS场地新建项目,,采购部,施工现场配合-材料对接,3
07/29-08/04,ISS24116-SH07 上海虹口区友邦金融大厦26层2601室2608及2609室营销中心新建项目,,采购部,材料样板 设计选样,11
07/29-08/04,GS210096-BJ10 金尚澜设计施工项目,,机电部,沟通配电室，强电间位置,2
07/29-08/04,GS220080-BJ11 温哥华森林别墅设计施工项目,,机电部,统计用电负荷，出具计算书,5
07/29-08/04,GS230020-SD03 歌尔科技产业项目二期内装及机电安装深化设计项目,,机电部,深化配合,1
07/29-08/04,GS230067-BJ09 金尚城溪-设计施工项目,,机电部,现场勘察，与中影沟通，排水管网，化粪池容积计算书，报审图纸,42
07/29-08/04,GS230078-BJ11 北京嘉华学院设计项目,,机电部,审核图纸，水暖电图纸绘制，和甲方对设备利旧清单，,32
07/29-08/04,GS240037-HB02 邢台面粉厂片区改造一期-地库设计项目,,机电部,电气图纸绘制,8
07/29-08/04,GS240063-BJ29 博彦科技平安金融中心接待室改造项目,,机电部,机电图纸绘制,8
07/29-08/04,GS240071-GD05 冠宇达顺德厂房、创研楼施工项目,,机电部,C栋机电图纸绘制,93
07/29-08/04,ISS24105-HF07 合肥蜀山区创新国际B15层TTR场地改造项目,,机电部,机电图纸深化设计,24
07/29-08/04,ISS24109-SY07 沈阳沈河区前海人寿金融中心21层CDS场地新建项目,,机电部,机电施工图设计,10
07/29-08/04,ISS24116-SH07 上海虹口区友邦金融大厦26层2601室2608及2609室营销中心新建项目,,机电部,机电图纸方案调整,10
07/29-08/04,ISS24118-NJ07 南京雨花区怡化大厦B座3层307-309单元MAG华为业务场地新建项目,,机电部,根据审图意见调整图纸,9
07/29-08/04,ISS24119-SZ07 深圳交付中心新建设计项目,,机电部,21个楼面机电深化图纸绘制,97
07/29-08/04,GS230043-QG07 宝马摩托年度框架,,景观部,"商务对接,2024Po单签字盖章发出",2
07/29-08/04,GS230079-BJ11 方正国际大厦-设计项目,,景观部,"周例会巡场,甲方预验收会,效果方案更新,古树下挡板方案及施工图,北广场植物施工图",9
07/29-08/04,GS240006-QG02 宝马汽车2024-2026年年框设计项目,,景观部,"商务阶段,Q3-Q4Po单发出,宝马模拟交底会mini",14
07/29-08/04,GS240015-BJ01 宝马超充站-SI手册,,景观部,"商务对接,请款邮件发出",2
07/29-08/04,GS240026-TJ01 天津嘉诚中学改造设计项目,,景观部,"效果方案更新,施工图更新,教学楼门口树池",5
07/29-08/04,GS240057-BJ23 北京大学兰园书院设计项目,,景观部,"平面方案,沟通平面功能",3
07/29-08/04,GS240064-BJ30 北京大学燕京学堂设计项目,,景观部,合同确认,3
07/29-08/04,会议培训及行政类工作,,景观部,,2
07/29-08/04,GS210096-BJ10 金尚澜设计施工项目,,内审部,审核顾彩良、孙邦平参与报价，已审核，审核第一版发给劳务，待回复。组织拆除劳务报价。,12
07/29-08/04,GS230020-SD03 歌尔科技产业项目二期内装及机电安装深化设计项目,,内审部,劳务结算审核,4
07/29-08/04,GS230067-BJ09 金尚城溪-设计施工项目,,内审部,自来水劳务谈判，木作及木作增项、排烟设备劳务审核,16
07/29-08/04,GS230045-BJ07 华樾中心B座-BJ-朝阳区创远路28号院1号楼项目,,设计1部,"施工配合,甲方汇报会,方案沟通,现场勘查",71
07/29-08/04,GS240040-SH03 立达学院-SH-上海立达学院第三餐厅设计项目,,设计1部,"效果方案,平面方案",60
07/29-08/04,GS240043-HZ01 乐华娱乐-HZ-杭州星澜里4号楼10F项目,,设计1部,"施工配合,商务报价",7
07/29-08/04,GS240056-BJ22 恐龙乐园-BJ-恐龙主题乐园项目,,设计1部,"投标阶段,商务报价,商务对接",3
07/29-08/04,会议培训及行政类工作,,设计1部,,7
07/29-08/04,金尚支持工作,,设计1部,,12
07/29-08/04,宣传销售类工作,,设计1部,"商务阶段,概念方案,平面方案",5
07/29-08/04,GS111 京东三号楼,,设计2部,"施工配合,客户新需求调整材料,补充效果图,材料表调整",12
07/29-08/04,GS230078-BJ11 北京嘉华学院设计项目,,设计2部,"施工配合,物料手册",34
07/29-08/04,GS240022-NX01 中国矿业大学银川学院一期工程（剧场、艺体馆及当代艺术馆）设计项目,,设计2部,"项目述标,述标方案更新",14
07/29-08/04,GS240022-NX01 中国矿业大学银川学院一期工程（剧场、艺体馆及当代艺术馆）设计项目,,设计2部,"概念方案,平面方案,效果方案",14
07/29-08/04,GS240026-TJ01 天津嘉诚中学改造设计项目,,设计2部,"施工配合,客户沟通答疑,现场施工配合指导",20
07/29-08/04,GS240071-GD05 冠宇达顺德厂房、创研楼施工项目,,设计2部,"效果方案,物料手册,扩初设计交底",50
07/29-08/04,GS240071-GD05 冠宇达顺德厂房、创研楼施工项目,,设计2部,施工投标配合,18
07/29-08/04,GS240073-GD06 华南农业大学珠江学院从化校区1A1B宿舍装修设计项目,,设计2部,"扩初设计交底,家具方案",44
07/29-08/04,GS240080-BJ42 北方投资北方创业出租汽车多功能休息室设计项目,,设计2部,"前期现场沟通会,平面方案",8
07/29-08/04,会议培训及行政类工作,,设计2部,,6
07/29-08/04,金尚支持工作,,设计2部,,10
07/29-08/04,GS230079-BJ11 方正国际大厦-设计项目,,设计3部,施工配合,3
07/29-08/04,GS240006-QG02 宝马汽车2024-2026年年框设计项目,,设计3部,培训学习,15
07/29-08/04,GS240017-BJ01 中信金属-BJ-办公室设计项目,,设计3部,"效果方案,平面方案,物业沟通会",86
07/29-08/04,GS240020-QD03 歌尔科技产业项目二期-E栋实验室设计项目,,设计3部,平面方案,10
07/29-08/04,GS240032-BJ09 俄罗斯天然气北京办公室改造项目,,设计3部,"商务报价,需求对接",2
07/29-08/04,GS240037-HB02 邢台面粉厂片区改造一期-地库设计项目,,设计3部,"施工图审核,扩初设计",18
07/29-08/04,GS240045-BJ15 阿里-华谊兄弟办公楼餐饮、办公、会所设计项目,,设计3部,"平面方案更新,效果方案,甲方汇报会",52
07/29-08/04,GS240076-BJ39 伊藤忠华糖-BJ-正大中心办公室设计施工项目,,设计3部,"平面方案,概念方案",16
07/29-08/04,GS240076-BJ39 伊藤忠华糖-BJ-正大中心办公室设计施工项目,,设计3部,"平面方案,概念方案,客户沟通",16
07/29-08/04,GS240079-BJ41 恋日国际B1办公室设计项目,,设计3部,"勘察现场,勘察报告",8
07/29-08/04,会议培训及行政类工作,,设计3部,公司例会、部门例会,7
07/29-08/04,ISS24116-SH07 上海虹口区友邦金融大厦26层2601室2608及2609室营销中心新建项目,,设计4部,扩初设计交底,80
07/29-08/04,ISS24119-SZ07 深圳交付中心新建设计项目,,设计4部,扩初设计交底,80
07/29-08/04,ISS24120-BJ07 北京海淀软通总部大楼1层展厅硬件展示区改造项目,,设计4部,扩初设计交底,10
07/29-08/04,金尚支持工作,,设计4部,,16
07/29-08/04,GS230078-BJ11 北京嘉华学院设计项目,,深化部,知行楼施工图绘制，行政楼平面、天花图绘制。体育馆包封裸漏管道，卫生间方案调整，施工图纸修改（19h）,57
07/29-08/04,GS240020-QD03 歌尔科技产业项目二期-E栋实验室设计项目,,深化部,补充部分平面立面细节，天花节点图绘制,41
07/29-08/04,GS240026-TJ01 天津嘉诚中学改造设计项目,,深化部,现场设计交底,10
07/29-08/04,GS240032-BJ09 俄罗斯天然气北京办公室改造项目,,深化部,根据物业审图意见修改图纸，其中涉及到平面布局修改（2和）,11
07/29-08/04,GS240037-HB02 邢台面粉厂片区改造一期-地库设计项目,,深化部,施工图绘制,45
07/29-08/04,GS240071-GD05 冠宇达顺德厂房、创研楼施工项目,,深化部,C栋A栋施工图绘制，C栋户型施工图修改（10h），C栋宿舍楼平面类图纸修改（4h）,146
07/29-08/04,ISS24081-BJ06 北京通州网络安全产业园服务器过渡工厂建设设计项目,,深化部,参加甲方组织的现场降低成本会议,3
07/29-08/04,GS210096-BJ10 金尚澜设计施工项目,,私宅部,"平面方案,效果方案",14
07/29-08/04,GS220080-BJ11 温哥华森林别墅设计施工项目,,私宅部,施工配合,1
07/29-08/04,GS230067-BJ09 金尚城溪-设计施工项目,,私宅部,"施工配合,效果方案更新",38
07/29-08/04,GS240031-BJ08 信达公寓设计项目,,私宅部,效果方案更新,23
07/29-08/04,GS240035-BJ11 世贸国际公寓设计施工项目,,私宅部,施工配合,2
07/29-08/04,会议培训及行政类工作,,私宅部,,2
07/29-08/04,GS230078-BJ11 北京嘉华学院设计项目,,业务部Lina,施工配合工作,1
07/29-08/04,GS240017-BJ01 中信金属-BJ-办公室设计项目,,业务部Lina,设计效果图，补充报图审流程，找三家设计院，走流程,8
07/29-08/04,GS240022-NX01 中国矿业大学银川学院一期工程（剧场、艺体馆及当代艺术馆）设计项目,,业务部Lina,第四次汇报，共三家设计院，本周补充更新体育馆方案，计划下周二提交周三周四汇报,3
07/29-08/04,GS240023-GD02 华南农业大学珠江学院四会校区部分区域精装设计项目,,业务部Lina,设计结算，做设计增项洽商,3
07/29-08/04,GS240026-BJ06 北京嘉华学院软装设计项目,,业务部Lina,施工配合，设计结算，增加设计区域,6
07/29-08/04,GS240026-TJ01 天津嘉诚中学改造设计项目,,业务部Lina,灯具定制售卖，等待信息，41套,2
07/29-08/04,GS240028-BJ07 海淀文化艺术大厦设计项目,,业务部Lina,施工图中，启动预算清单,0.5
07/29-08/04,GS240036-BJ12 正午阳光影视公司,,业务部Lina,项目丢失，谈设计费补偿,0.2
07/29-08/04,GS240039-SH02 立达学院-SH-上海立达学院图书馆改造项目,,业务部Lina,施工图中,1
07/29-08/04,GS240040-SH03 立达学院-SH-上海立达学院第三餐厅设计项目,,业务部Lina,第一笔设计费已付款，方案中,3
07/29-08/04,GS240041-BJ13 泓晟国际-BJ-泓晟国际22层设计项目,,业务部Lina,立项跟踪,0
07/29-08/04,GS240049-GD03 华南农业大学珠江学院从化校区设计项目,,业务部Lina,待集团审批设计区域,0
07/29-08/04,GS240059-BJ25 东来顺-BJ-新源里东来顺办公楼会客餐厅改造项目,,业务部Lina,计划本周汇报，取消，等待通知,0.5
07/29-08/04,GS240060-BJ26 康美电业-泰禾文化大厦办公室改造项目,,业务部Lina,约客户下周碰面谈合约及平面,0.5
07/29-08/04,GS240067-BJ33 中信集团-BJ-18层办公室设计项目,,业务部Lina,找三家设计院走投标流程,2
07/29-08/04,GS240071-GD05 冠宇达顺德厂房、创研楼施工项目,,业务部Lina,"清标，优化方案，最总报价1048W,利润率5%。与金鼎施工方总价差300W，低于我们成本价，落标",24
07/29-08/04,GS240071-GD05 冠宇达顺德厂房、创研楼施工项目,,业务部Lina,AcD方案调整后确认，申请进度款,2
07/29-08/04,GS240072-BJ36 西安工商学院工程楼设计项目,,业务部Lina,待学校核算完结构，明确方向,1
07/29-08/04,GS240073-GD06 华南农业大学珠江学院从化校区1A1B宿舍装修设计项目,,业务部Lina,需做面积签署确认，走合同流程,2
07/29-08/04,GS240074-BJ37 北京利生体育用品商厦大楼改造项目,,业务部Lina,俄罗斯提出相关问题，给俄罗斯做市场价格分析,8
07/29-08/04,GS240075-BJ38 新中国儿童商店改造项目,,业务部Lina,立项跟踪,0
07/29-08/04,宣传销售类工作,,业务部Lina,北方投资其他学校方案建议（立达、南宁理工餐厅）,5
07/29-08/04,GS230067-BJ09 金尚城溪-设计施工项目,,业务部Tina,,28
07/29-08/04,GS240020-QD03 歌尔科技产业项目二期-E栋实验室设计项目,,业务部Tina,杭州歌尔平面方案测试,4
07/29-08/04,GS240020-QD03 歌尔科技产业项目二期-E栋实验室设计项目,,业务部Tina,,2
07/29-08/04,GS240032-BJ09 俄罗斯天然气北京办公室改造项目,,业务部Tina,沟通项目方案调整 提交,2
07/29-08/04,GS240063-BJ29 博彦科技平安金融中心接待室改造项目,,业务部Tina,,4
07/29-08/04,ISS24105-HF07 合肥蜀山区创新国际B15层TTR场地改造项目,,业务部Tina,1、施工图纸输出,13
07/29-08/04,ISS24109-SY07 沈阳沈河区前海人寿金融中心21层CDS场地新建项目,,业务部Tina,项目施工管理,10
07/29-08/04,ISS24116-SH07 上海虹口区友邦金融大厦26层2601室2608及2609室营销中心新建项目,,业务部Tina,去家具展厅找家具，找材料样本,8
07/29-08/04,ISS24116-SH07 上海虹口区友邦金融大厦26层2601室2608及2609室营销中心新建项目,,业务部Tina,项目施工管理,10
07/29-08/04,ISS24121-XA07 西安浐灞区前海人寿大厦15层1501-1503单元BANK中行业务ODC场地扩建项目,,业务部Tina,平面图及施工图及沟通现场情况,14
07/29-08/04,北京软通,,业务部Tina,1、图纸输出-北京海淀软通总部大楼5层高管区域楼梯地砖维修改造项目,5
07/29-08/04,北京软通,,业务部Tina,修直播间空调漏水,6
07/29-08/04,北京软通,,业务部Tina,装数据中心机柜锁,3
07/29-08/04,北京软通,,业务部Tina,楼顶装监控，,11
07/29-08/04,北京软通,,业务部Tina,楼顶，508做防水,10
07/29-08/04,成都软通,,业务部Tina,项目施工管理,5
07/29-08/04,会议培训及行政类工作,,业务部Tina,,1
07/29-08/04,南京软通,,业务部Tina,1、施工图纸调整并输出-南京雨花区怡化大厦B座3层307-309单元MAG华为业务场地新建项目,10
07/29-08/04,南京软通,,业务部Tina,项目施工管理,10
07/29-08/04,全国软通,,业务部Tina,输出竣工图及洽商图纸-武汉场地，成都场地，南京场地,6
07/29-08/04,全国软通,,业务部Tina,项目结算进度跟进，洽商整理跟进签字流程，准备盖章文件,30
07/29-08/04,全国软通,,业务部Tina,小维修跟进安排,11
07/29-08/04,全国软通,,业务部Tina,济南项目管理，西安项目管理，深圳东莞项目管理,50
07/29-08/04,全国软通,,业务部Tina,处理相关项目邮件，推进各项目进度，解决客户、审计单位相关项目问题及各部门沟通衔接。,39
07/29-08/04,全国软通,,业务部Tina,,6
07/29-08/04,武汉软通,,业务部Tina,1、平面方案测试,10
07/29-08/04,武汉软通,,业务部Tina,武汉未来科技城F3栋3-13层对接物业新做桥架及利旧桥架位置及施工方案整改,9
07/29-08/04,武汉软通,,业务部Tina,武汉未来科技城对接客户旧门禁设备拆除点位，所有场地监控存储情况及密码查看,18
07/29-08/04,武汉软通,,业务部Tina,武汉欧莱雅场地月度签单及场地周检维修，去市场采购地弹簧,9
07/29-08/04,武汉软通,,业务部Tina,武汉未来科技城F3栋3层开放区玻璃门地弹簧更换，整改资料打印,9
07/29-08/04,武汉软通,,业务部Tina,项目施工管理,6
07/29-08/04,西安软通,,业务部Tina,1、平面方案输出,5
07/29-08/04,西安软通,,业务部Tina,平面图及施工图及沟通现场情况 -- 西安高新区环普产业园A2幢7层MAG华为荣耀场地配线间机房空调维修改造项目,6
07/29-08/04,GS210031-BJ03 中源科技大厦医美项目 ,,预算部,零星事项（5小时）,5
07/29-08/04,GS210084-SD08 歌尔微电子-SH-上海集贤中心1#13层设计施工项目,,预算部,竣工项目（4小时）,4
07/29-08/04,GS220034-BJ04 华控展示中心项目,,预算部,1、华控与咨询对结算资料准备及华控空调分包结算争议项沟通（1小时）,4.5
07/29-08/04,GS220060-SD08 丹拿汽车实验室,,预算部,劳务结算审核（0.5小时）,0.5
07/29-08/04,GS220080-BJ11 温哥华森林别墅设计施工项目,,预算部,在施项目（4小时）,4
07/29-08/04,GS230022-BJ03 乐华娱乐-BJ-朝阳区安翔里1号院北楼1-2F商业设计项目,,预算部,劳务结算（3.0小时）,3
07/29-08/04,GS230045-BJ07 华樾中心B座-BJ-朝阳区创远路28号院1号楼项目,,预算部,在施项目（时间11小时）,11
07/29-08/04,GS230078-BJ11 北京嘉华学院设计项目,,预算部,设计项目（3.0小时）,3
07/29-08/04,GS240004-QG01 欧莱雅维保项目,,预算部,维保报价（3小时）,3
07/29-08/04,GS240019-BJ03 宝马品牌学院-BJ-设计施工项目,,预算部,投标阶段（5小时）,5
07/29-08/04,GS240032-BJ09 俄罗斯天然气北京办公室改造项目,,预算部,商务报价阶段（3小时）,3
07/29-08/04,GS240035-BJ11 世贸国际公寓设计施工项目,,预算部,1、对外报价调整（2小时）,10
07/29-08/04,GS240043-HZ01 乐华娱乐-HZ-杭州星澜里4号楼10F项目,,预算部,施工项目：(8小时）,8
07/29-08/04,GS240056-BJ22 恐龙乐园-BJ-恐龙主题乐园项目,,预算部,商务报价阶段（30小时）,30
07/29-08/04,GS240056-BJ22 恐龙乐园-BJ-恐龙主题乐园项目,,预算部,投标阶段,3
07/29-08/04,GS240056-BJ22 恐龙乐园-BJ-恐龙主题乐园项目,,预算部,商务报价阶段 （20小时）,20
07/29-08/04,GS240063-BJ29 博彦科技平安金融中心接待室改造项目,,预算部,1、出劳务合同（1小时）,3
07/29-08/04,GS240071-GD05 冠宇达顺德厂房、创研楼施工项目,,预算部,施工项目投标阶段（24.0小时）,24
07/29-08/04,GS240071-GD05 冠宇达顺德厂房、创研楼施工项目,,预算部,投标阶段（22小时）,22
07/29-08/04,GS240071-GD05 冠宇达顺德厂房、创研楼施工项目,,预算部,投标阶段,28.5
07/29-08/04,GS240071-GD05 冠宇达顺德厂房、创研楼施工项目,,预算部,投标阶段（20小时）,20
07/29-08/04,GS240071-GD05 冠宇达顺德厂房、创研楼施工项目,,预算部,投标阶段（38小时）,40
07/29-08/04,ISS23074-BJ04 北京通州信创园B区8栋18层装修工程项目,,预算部,竣工结算-整改阶段（1.0小时）,1
07/29-08/04,ISS23204-ZZ12 郑州金水区政商博雅超聚变场地4层合并改造项目,,预算部,竣工结算项目：(2小时）,2
07/29-08/04,ISS23208-ZZ12 郑州金水区政商博雅11层MAG场地退租项目,,预算部,竣工结算项目：(2小时）,2
07/29-08/04,ISS24017-QG01 全国软通2024系列小维修,,预算部,维保报价（4.5小时）,4.5
07/29-08/04,ISS24037-WH03 武汉东湖高新区当代梦工厂5栋10层TTR场地改造项目,,预算部,施工图纸报价阶段（1小时),1
07/29-08/04,ISS24052-CQ04 重庆两江新区互联网产业园2期6号楼5层8层TTR及DOS场地退租项目,,预算部,施工图纸报价阶段（1小时),1
07/29-08/04,ISS24059-CD04 成都武侯区西部智谷4层DOS场地监控系统升级改造项目,,预算部,竣工结算阶段（2小时),2
07/29-08/04,ISS24067-CD05 成都高新紫光芯云B座3层18层19层MAG及DOS场地退租优化改造项目,,预算部,项目已完工结算阶段（3h),3
07/29-08/04,ISS24122-HZ07 杭州慧港科技园A1栋5层6层MAG消费者场地空调系统改造项目,,预算部,竣工结算阶段（4.5小时）,4.5
07/29-08/04,ISS24079-NJ06 南京江宁天域互联D1栋5层MAG华为原黄区撤场区域改回PC黄区项目,,预算部,竣工结算阶段（3小时）,3
07/29-08/04,ISS24090-CD06 成都武侯区西部智谷3层DOS场地网络改造项目,,预算部,竣工结算-阶段（2.0小时）,2
07/29-08/04,ISS24090-CD06 成都武侯区西部智谷3层DOS场地网络改造项目,,预算部,竣工结算阶段（2.0小时）,2
07/29-08/04,ISS24100-XA07 西安高新区环普产业园A2幢7层MAG华为ICTT创新实验室改终端互联网ODC场地项目,,预算部,竣工结算阶段（3小时）,3
07/29-08/04,ISS24103-BJ07 北京海淀区环保园C2栋1F、3F、MAG门禁系统升级改造项目,,预算部,施工图纸报价阶段（4.0小时）,4
07/29-08/04,ISS24109-SY07 沈阳沈河区前海人寿金融中心21层CDS场地新建项目,,预算部,施工图纸报价阶段（8h）,8
07/29-08/04,ISS24110-XA07 西安高新区新加坡腾飞科汇城东楼22层MAG华为ICTT终端业务新建项目,,预算部,施工图纸报价阶段-【装饰、空调、给排水部分】（3小时),3
07/29-08/04,ISS24110-XA07 西安高新区新加坡腾飞科汇城东楼22层MAG华为ICTT终端业务新建项目,,预算部,施工项目报价阶段（1.0小时）,1
07/29-08/04,ISS24111-SZ07 深圳龙岗区金荣达6栋及2栋1层MAG华为业务ODC场地门禁改造项目,,预算部,施工图纸报价阶段(8h）,8
07/29-08/04,ISS24114-SZ07 深圳龙岗天安云谷6栋26-27层MAG华为业务ODC场地门禁改造项目,,预算部,施工图纸报价阶段(8h）,8
07/29-08/04,ISS24116-SH07 上海虹口区友邦金融大厦26层2601室2608及2609室营销中心新建项目,,预算部,施工图纸报价阶段（20小时),20
07/29-08/04,ISS24117-BJ07 北京海淀软通总部大楼1层ICP实验室空调系统升级改造项目,,预算部,施工图纸报价阶段（1小时),1
07/29-08/04,ISS24121-XA07 西安浐灞区前海人寿大厦15层1501-1503单元BANK中行业务ODC场地扩建项目,,预算部,项目前期平面图纸概算阶段（8小时）,8
07/29-08/04,ISS24122-HZ07 杭州慧港科技园A1栋5层6层MAG消费者场地空调系统改造项目,,预算部,施工图纸报价阶段(8h）,8
07/29-08/04,ISS24124-HZ07 杭州慧港科技园A1栋5层6层MAG消费者场地窗帘改造项目,,预算部,施工报价阶段（3.5小时）,3.5
07/29-08/04,会议培训及行政类工作,,预算部,内审工作（20小时）,20
07/29-08/04,金尚支持工作,,预算部,施工图纸报价阶段（5小时),5
07/29-08/04,金尚支持工作,,预算部,公司年度维修报价（4.0小时）,4
07/29-08/04,金尚支持工作,,预算部,施工报价阶段（1小时）,1
08/05-08/11,GS220034-BJ04 华控展示中心项目,,IT部,机房改造和客户会议,2
08/05-08/11,"GS230035-QD05 青岛歌尔国创中心1#楼1,15,16层精装项目",,IT部,16层行政报修家具问题，转@王国栋跟进,1
08/05-08/11,GS230045-BJ07 华樾中心B座-BJ-朝阳区创远路28号院1号楼项目,,IT部,沟通4层5层需求，内部交底，绘制弱电图纸,9
08/05-08/11,GS230067-BJ09 金尚城溪-设计施工项目,,IT部,现场沟通，安排网络运营商及移动手机信号供应商现场施工。沟通选住，同兵总、胡工、邓工等深化小酒店区域智能化设备,17
08/05-08/11,GS230067-BJ09 金尚城溪-设计施工项目,,IT部,调整光纤路由及网络点位，出具运营商图纸，更新底图调整弱电图纸等,22
08/05-08/11,GS240000-GZWX 2024年合同额小于20万维修改造项目,,IT部,①上海贝塔斯曼：向客户解释最终报价，确认最终实施方案。②三星半导体：所有门禁增加一键开启，向预算交底方案，配合报价。,3
08/05-08/11,GS240013-SH01 上海联江芯亚芯科技园2号楼7楼局部装修施工项目,,IT部,TP-Link项目、上海歌尔两次改造，辅助劳务和预算进行对量工作。,
08/05-08/11,GS240017-BJ01 中信金属-BJ-办公室设计项目,,IT部,熟悉图纸，交底会，提交答疑文件,4
08/05-08/11,GS240020-QD03 歌尔科技产业项目二期-E栋实验室设计项目,,IT部,调整E栋视频监控点位图，替换装饰底图，调整路由图等。沟通需求会议等问题,16
08/05-08/11,GS240043-HZ01 乐华娱乐-HZ-杭州星澜里4号楼10F项目,,IT部,沟通增项报价，和现场师傅沟通解决现场问题。,3
08/05-08/11,GS240043-HZ01 乐华娱乐-HZ-杭州星澜里4号楼10F项目,,IT部,对现场答疑，出具变更图纸及清单,3
08/05-08/11,GS240071-GD05 冠宇达顺德厂房、创研楼施工项目,,IT部,调整A栋图纸，绘制C栋图纸，调整园区网络架构等。,39
